transaction_id,customer_id,amount
1,98,1982.45
2,83,1078.51
3,50,1721.57
4,89,33.69
5,30,1838.8
6,14,684.95
7,25,1062.85
8,49,751.45
9,20,1639.24
10,39,503.24
11,85,2394.49
12,51,1781.15
13,69,982.71
14,85,1294.84
15,46,1082.13
16,56,1299.08
17,14,1403.31
18,85,1552.94
19,30,1305.48
20,32,668.62
21,41,2145.61
22,83,1046.45
23,99,386.24
24,47,2450.48
25,16,1533.74
26,81,2498.32
27,61,961.68
28,81,2341.11
29,82,938.52
30,71,1381.31
31,12,1849.66
32,54,611.13
33,25,2017.67
34,70,1943.76
35,92,919.0
36,67,1270.95
37,10,628.16
38,26,73.06
39,10,1025.38
40,49,1127.86
41,20,154.46
42,100,1188.3
43,49,1874.05
44,81,1616.16
45,35,1237.47
46,1,703.61
47,34,541.15
48,49,1299.87
49,78,758.01
50,82,1520.04
51,75,953.01
52,66,1456.08
53,74,1024.66
54,65,1436.92
55,27,1371.11
56,88,1623.7
57,7,1986.11
58,55,814.89
59,74,1909.4
60,54,1199.12
61,93,1983.71
62,96,712.62
63,98,1654.26
64,36,233.3
65,69,1317.88
66,9,2292.43
67,58,2340.97
68,79,1371.33
69,36,1237.28
70,59,2128.75
71,82,1248.22
72,24,150.96
73,45,129.89
74,67,1729.03
75,55,100.1
76,61,1032.35
77,38,679.13
78,99,1231.33
79,78,1884.82
80,75,1535.9
81,94,2173.85
82,56,1880.74
83,69,269.09
84,76,1810.34
85,11,2167.07
86,32,2185.42
87,25,1330.32
88,54,2034.61
89,56,667.92
90,42,2353.14
91,90,1353.38
92,44,2384.77
93,100,1288.64
94,93,1871.41
95,49,451.43
96,51,1296.92
97,49,1697.51
98,71,1614.43
99,24,261.77
100,32,1434.71
101,81,2480.92
102,94,732.18
103,97,1496.64
104,47,1569.16
105,31,848.96
106,64,1072.83
107,48,806.29
108,53,1177.14
109,16,210.97
110,24,1443.68
111,60,1371.14
112,53,729.37
113,10,1191.49
114,4,286.29
115,42,773.0
116,52,1984.26
117,96,103.55
118,57,1932.36
119,25,1150.38
120,36,718.39
121,88,1606.19
122,22,53.97
123,54,303.36
124,90,70.2
125,76,1381.23
126,15,248.38
127,14,2417.32
128,90,123.19
129,1,11.85
130,39,1159.21
131,83,748.32
132,21,409.55
133,52,710.52
134,83,766.06
135,48,179.23
136,44,168.31
137,27,1953.51
138,90,2160.59
139,15,946.85
140,40,2208.77
141,25,900.22
142,45,1138.36
143,88,2258.57
144,68,1832.43
145,53,806.0
146,43,144.5
147,39,2399.82
148,85,800.52
149,20,1518.83
150,84,390.43
151,2,20.24
152,62,350.41
153,10,2304.49
154,100,89.63
155,52,22.99
156,27,1056.95
157,72,967.87
158,47,2094.02
159,27,257.6
160,19,2334.18
161,95,343.11
162,58,2299.5
163,83,456.29
164,9,220.17
165,5,990.75
166,63,474.2
167,33,337.38
168,88,2427.35
169,31,504.41
170,50,2467.26
171,58,2032.67
172,32,1934.0
173,75,856.72
174,51,2493.02
175,41,1097.4
176,20,717.52
177,84,103.77
178,84,1879.65
179,48,1910.85
180,63,1566.7
181,91,669.92
182,36,1724.84
183,76,44.3
184,10,264.8
185,87,822.04
186,26,2268.29
187,78,649.78
188,21,1103.93
189,49,2418.5
190,98,59.52
191,21,2428.32
192,85,2404.34
193,48,1281.35
194,37,2049.46
195,96,2368.37
196,96,694.64
197,30,1662.12
198,63,2182.36
199,56,1771.99
200,73,351.03
201,78,1900.21
202,34,482.47
203,18,717.26
204,100,1936.92
205,62,2153.06
206,33,1197.4
207,38,1105.26
208,69,378.7
209,16,2466.15
210,77,639.62
211,87,1471.69
212,43,310.67
213,72,1146.2
214,72,665.55
215,50,326.81
216,47,1662.26
217,6,906.23
218,15,154.15
219,91,2204.36
220,86,1823.11
221,38,707.46
222,61,195.88
223,29,3.27
224,19,1312.72
225,12,2425.54
226,37,74.26
227,18,2359.06
228,84,618.53
229,7,2463.87
230,64,664.05
231,88,2148.32
232,16,137.88
233,66,1275.2
234,59,47.31
235,66,2064.28
236,90,1341.57
237,4,960.87
238,22,1483.01
239,25,209.59
240,25,117.26
241,81,893.74
242,94,1262.92
243,85,862.75
244,100,1171.46
245,48,1296.93
246,80,793.83
247,76,25.75
248,82,2235.12
249,64,1550.35
250,79,1938.91
251,41,1086.66
252,47,2155.76
253,47,2157.49
254,56,2490.3
255,35,2262.93
256,16,1882.65
257,98,703.09
258,40,1739.55
259,54,2433.04
260,59,845.77
261,90,2346.43
262,39,1303.0
263,20,2378.11
264,41,1683.72
265,56,1951.73
266,11,572.89
267,40,246.72
268,10,773.99
269,71,916.43
270,50,2016.99
271,54,678.16
272,66,74.21
273,83,701.39
274,41,106.8
275,28,764.99
276,58,1634.13
277,63,2199.1
278,29,2264.76
279,53,1111.33
280,60,9.96
281,72,974.92
282,34,596.91
283,67,1505.58
284,98,945.64
285,14,1189.93
286,63,2202.96
287,100,1356.86
288,60,1465.95
289,88,1294.23
290,63,753.49
291,3,276.97
292,52,1181.43
293,2,1859.68
294,64,1126.57
295,16,2414.37
296,69,1569.85
297,11,1108.9
298,54,289.95
299,79,1383.22
300,63,1683.25
301,52,1744.84
302,79,970.71
303,18,271.85
304,24,470.22
305,68,686.79
306,31,732.13
307,27,2427.19
308,68,1502.2
309,67,1189.31
310,92,408.37
311,68,911.81
312,59,551.56
313,84,1438.02
314,59,921.21
315,84,1059.26
316,86,347.28
317,71,44.01
318,98,1893.33
319,73,1087.09
320,66,1107.91
321,84,1606.46
322,4,447.02
323,89,1551.99
324,61,2073.07
325,16,900.21
326,67,2374.67
327,44,1648.51
328,95,2200.75
329,44,2356.59
330,42,141.99
331,82,1287.4
332,19,721.52
333,42,2112.21
334,9,375.15
335,70,1212.69
336,85,2154.08
337,4,951.65
338,76,595.05
339,54,627.89
340,4,1497.6
341,27,253.04
342,84,1906.82
343,59,453.67
344,68,1260.76
345,12,1847.43
346,13,550.17
347,66,2182.3
348,51,1510.27
349,40,563.21
350,53,339.25
351,98,2101.31
352,36,456.53
353,82,1427.94
354,90,169.49
355,92,1500.94
356,10,1753.89
357,37,201.18
358,89,792.09
359,6,257.37
360,8,434.16
361,61,1345.32
362,21,2359.8
363,79,1833.94
364,24,34.97
365,65,770.72
366,49,597.83
367,35,1337.05
368,23,2301.75
369,23,1599.77
370,90,859.87
371,1,1906.89
372,88,229.01
373,10,1053.57
374,30,1800.76
375,99,1845.75
376,27,1540.2
377,18,1958.47
378,66,984.48
379,59,1594.85
380,87,1315.28
381,80,1944.4
382,69,1836.67
383,20,116.94
